system:index,afgNPP,pfgNPP,shrNPP,treNPP
0,24,28,28,0
1,7,73,41,0
2,0,0,77,0
3,0,0,62,0
4,0,0,66,0
5,52,13,36,0
6,8,15,37,0
7,0,0,29,0
8,11,0,12,0
9,0,0,29,0
10,46,56,43,0
11,138,133,43,0
12,164,93,33,0
13,72,57,42,0
14,86,70,89,12
15,171,77,99,14
16,160,149,100,24
17,184,143,96,24
18,175,79,85,22
19,91,15,66,12
20,67,16,67,19
21,122,177,129,42
22,33,178,130,60
23,29,124,125,27
24,89,136,126,0
25,106,88,119,0
26,76,91,111,0
27,51,165,109,9
28,248,65,73,1
29,310,153,48,0
30,334,140,45,0
31,354,163,46,0
32,373,137,37,0
33,345,119,40,0
34,367,96,41,0
35,429,82,60,14
36,571,25,68,37
37,582,0,93,71
38,452,0,130,71
39,290,0,157,71
40,143,0,114,111
41,106,0,145,187
42,278,119,72,1
43,277,123,31,0
44,293,123,24,0
45,325,150,27,0
46,384,132,34,0
47,392,145,34,0
48,381,143,34,0
49,336,93,33,0
50,333,64,32,0
51,325,68,32,0
52,315,51,51,0
53,289,25,99,23
54,151,171,134,91
55,150,49,196,147
56,302,55,112,18
57,301,96,52,0
58,261,93,36,0
59,256,83,35,0
60,275,63,35,0
61,238,15,43,0
62,325,63,37,0
63,316,92,44,0
64,301,94,47,0
65,307,70,48,0
66,306,48,59,0
67,304,0,105,7
68,203,0,129,36
69,159,178,149,111
70,389,107,69,5
71,368,129,64,3
72,350,103,64,3
73,322,74,56,3
74,300,69,53,0
75,276,43,41,0
76,259,40,35,0
77,248,67,45,0
78,260,71,56,0
79,284,50,74,0
80,309,22,90,5
81,283,0,120,10
82,235,27,128,34
83,148,256,133,105
84,193,53,75,5
85,185,49,81,15
86,216,50,91,23
87,261,79,88,23
88,316,50,75,14
89,349,74,60,3
90,319,68,46,0
91,254,42,44,0
92,234,43,45,0
93,263,15,48,0
94,274,0,79,5
95,240,0,108,7
96,250,115,133,73
97,93,104,142,127
98,145,74,92,14
99,53,61,62,0
100,0,31,40,0
101,11,38,52,0
102,187,100,109,0
103,273,25,122,39
104,345,0,97,6
105,366,19,70,5
106,305,22,75,6
107,243,0,93,21
108,222,0,97,31
109,314,0,94,5
110,400,36,137,68
111,42,0,39,58
